chapter	verse	text
4	10	for Demas forsook me, having loved the present age, and went on to Thessalonica, Crescens to Galatia, Titus to Dalmatia,
4	11	Lukas only is with me; Markus having taken, bring with yourself, for he is profitable to me for ministration service;
4	12	and Tychicus I sent to Ephesus;
4	13	the cloak that I left in Troas with Carpus, coming, bring you and the books -- especially the parchments.
4	14	Alexander the coppersmith did me much evil harm; may the Lord repay to him according to his works,
4	15	of whom also do you beware, for greatly has he stood against our words;
4	16	in my first defence no one stood with me, but all forsook me, (may it not be reckoned to them!)
4	17	and the Lord stood by me, and did strengthen me, that through me the preaching might be fully assured, and all the nations might hear, and I was freed out of the mouth of a lion,
4	18	and the Lord shall free me from every evil work, and shall save me -- to his heavenly kingdom; to whom is the glory to the ages of the ages! Amen.
4	19	Salute Prisca and Aquilas, and Onesiphorus' household;
4	20	Erastus did remain in Corinth, and Trophimus I left in Miletus sick;
4	21	be diligent to come before winter. Salute you does Eubulus, and Pudens, and Linus, and Claudia, and all the brethren.
4	22	The Lord Jesus Christ is with your spirit; the grace is with you! Amen.
